text,category
Voltage fluctuation is so severe in our area that our electronics keep getting damaged,electricity
Dead animal waste and household garbage mixed together near our street is a health hazard,garbage
The road repair done last month has already broken apart and the same potholes are back,road
Water from the pipeline near our plot is seeping into the foundation of our house,water
There is no power supply in our area since this morning and it's now been more than 9 hours,electricity
Waste bins placed by the municipality in our colony have not been cleared for a week,garbage
Uneven road surface near the hospital is causing vehicles to bounce and get damaged daily,road
Our building gets water supply for only 20 minutes at 5 AM which is not enough for 30 flats,water
Street lights go off at 9 PM every night and our lane remains in complete darkness until morning,electricity
Stray cattle are feeding on the uncollected garbage heap outside our housing society gate,garbage
The new road laid by the contractor has already started sinking near the storm drain,road
Municipal water supply has been irregular and insufficient in our ward for the last two weeks,water
Electricity board workers have been working on the pole outside our house for two days with no resolution,electricity
Plastic bags and household waste thrown near the temple premises are not being cleared,garbage
Road marking and signage on the highway near our village are completely faded and dangerous at night,road
I filed a complaint about no water supply 5 days ago but nobody has come to fix it yet,water
A broken electric meter box on the road has exposed live wires which could harm pedestrians,electricity
Heaps of garbage near the bus stand are not being collected despite residents complaining daily,garbage
The pit dug near the old school road for pipeline repair has been left open and unfenced,road
Overhead water pipes in our street burst during the night and have been gushing water since then,water
Our electricity bill has doubled this month without any change in usage and helpline is not responding,electricity
Garbage accumulated on the corner of our street is being burned openly causing thick black smoke,garbage
The road between the market and the hospital needs urgent repair as it has badly deteriorated,road
We are buying water cans for the third day in a row because there is no municipal water,water
Power went off last night at 11 PM and it is still not restored as of afternoon today,electricity
Fruit and vegetable waste dumped by vendors is rotting on the road near our colony entrance,garbage
There is no way to avoid the giant potholes on the road to our colony after the rain,road
The water coming from the handpump near our locality smells like sewage and is undrinkable,water
Electricity poles in our street are old and rusted and look like they may fall anytime,electricity
The municipality garbage vehicle just passes our lane without stopping or picking any waste,garbage
Rain has completely eroded the road near the drainage area and it is now unusable,road
Children in our colony are falling sick due to impure water supplied by the municipality,water
There is a constant humming noise from the substation near our school and children are scared,electricity
Mountains of trash at the entry of our neighbourhood are an embarrassment and health concern,garbage
This road has been dug for underground work three times and never properly restored,road
Despite being fully paid up on water bills our supply was cut off without any explanation,water
The transformer was replaced last week but tripping continues every evening in our locality,electricity
Uncollected wet garbage near the temple is creating a very unhygienic and smelly environment,garbage
The pothole in front of my gate has now become so large that even cars get stuck in it,road
Water supply timing was changed without notifying residents so many missed the supply today,water
Electricity department came and fixed the issue last week but it's the same problem again now,electricity
Burning garbage smell is entering our homes every evening because waste is being burnt near our area,garbage
A section of the road collapsed after heavy rain near our block and it has not been fixed yet,road
There is a water logging issue in my basement flat because the main pipeline is blocked and overflowing,water
Random 2-hour power cuts with no schedule are affecting our daily work and studies at home,electricity
The garbage van comes so early at 5 AM that most residents miss it and waste piles up,garbage
Our street road is so damaged that even two-wheelers are not able to pass through without falling,road
Public tap near our school has been broken for a week and water is wasting onto the road,water
The local electricity supply has been irregular since the new substation work started nearby,electricity
Municipal garbage workers are on strike and waste has been accumulating on every street,garbage
Road work near the railway station has been abandoned midway leaving construction material all over,road
The water meter in our compound is broken and we have no idea how much water we're using,water
Electric wire came in contact with the water pipe in our building causing shock risk,electricity
Open garbage dump opposite our flat has been there for two weeks and stinks unbearably,garbage
Our area road looks like a riverbed with deep grooves and we need urgent resurfacing,road
Low water pressure means residents on the second floor and above get absolutely no water,water
High tension wire passing very close to the rooftop of our building is a major safety risk,electricity
Piles of plastic and waste are being dumped in the empty plot near our colony by outsiders,garbage
Roads in our area have not been repaired even after the corporation's announcement last month,road
Muddy water from the municipality tap has been coming since it rained and we can't use it,water
The electricity supply to our area goes off exactly when we start cooking and comes back at midnight,electricity
The garbage contractor is not showing up and our streets are turning into open dumping grounds,garbage
I have complained about this pothole three times and no action has been taken so far,road
Sewage backflow has contaminated the water supply line in our building since last Tuesday,water
Electric pole outside our building leans dangerously towards the road after the last storm,electricity
Waste water and garbage mixed together near the entrance of our society is very disgusting,garbage
The road divider on the main road has been left broken for months without any repair,road
Residents are forced to walk half a kilometre to fill water every single day in our area,water
Half our apartment building has no electricity since the main fuse was blown two nights ago,electricity
Stinking waste near our building's entrance is causing respiratory issues for elderly residents,garbage
A truck tyre burst in the pothole near our gate last week causing a dangerous situation,road
Municipal water supply comes for only 10 minutes a day which is not enough for a family of 5,water
New electricity connection applied 2 months ago but still waiting with no update from the board,electricity
Our housing association has sent 3 written complaints about garbage but nothing has happened,garbage
Gravel and mud from an incomplete road repair project blocks the road every time it rains,road
Drinking water distributed by the tanker is visibly unclean and has floating particles in it,water
Overhead electricity lines in our area keep snapping during every storm causing long outages,electricity
Waste from the poultry shop near our house is thrown on the street and nobody clears it,garbage
The road between the junction and the flyover has no reflectors or road marks making it unsafe,road
Our residential area has been facing acute water shortage for the past 10 days with no solution,water
The electric motor of the main water pump was stolen last night and now there is no supply,electricity
Dead rats and household garbage are piling up near the drain behind our apartment,garbage
Damaged road in front of the police station looks abandoned and reflects poorly on the locality,road
We are asking the water department to restore supply for 3 days now but getting no response,water
Short circuit happened in the electricity panel of our block and smells of burning wire persist,electricity
Garbage collection schedule is completely unpredictable in our colony and waste keeps piling,garbage
The road in our lane has a sharp dip that causes vehicle damage and nobody has repaired it,road
Water supply cut without intimation for the third time this month causing serious inconvenience,water
Night patrolling is impossible in our area as every single street light is out since last week,electricity
Construction waste from the building site next door has been dumped on our street for days,garbage
Our entire area is plunged in darkness after the junction box caught fire two days ago,electricity
The road repair done in January is already undone by the summer heat and heavy vehicles,road
Tanker water supplied to our area is insufficient and queues form from early in the morning,water
Loud sparking sounds from the electric pole near our home are worrying us since last night,electricity
Old mattresses and broken furniture dumped near the park entrance are an eyesore and hazard,garbage
Nobody seems to care about the terrible condition of the road in our residential layout,road
Children in our area are drinking unsafe water as there is no other source available nearby,water
Our building's common meter was tampered with by an unknown person and shows a huge bill,electricity
Residents are forced to throw garbage on the road as the collection truck never comes,garbage
Crater-sized potholes on the road have injured a school bus full of children last Friday,road
Water supply restored after two days of dry taps but the water is brown and muddy today,water
The electric pole fell on our compound wall during the storm and is still lying there unattended,electricity
Open defecation and waste dumping near our lane has made it impossible to walk in the morning,garbage
Massive flooding of the road near the underpass happens every rain due to blocked drains,road
Municipality workers came to fix the water pipe but left after 10 minutes without completing work,water
We are living without electricity for the second day in a row after an unexplained power failure,electricity
Nobody is cleaning the garbage that stray animals scatter all over our lane every night,garbage
Road construction in front of our gate is blocking entry and exit to our building since 3 days,road
Water from the new pipeline laid last month tastes metallic and is undrinkable,water
Electricity supply has been shut down in our building by the board without prior notice or reason,electricity
Waste bins placed by the municipality are already rusted and broken and not being replaced,garbage
An entire section of road between two societies caved in due to underground leakage,road
Water from the public standpipe near our market is flowing out continuously and wasting,water
Street light repair was promised last month but till date nothing has been done in our area,electricity
Residents here have been depositing garbage in the correct bins but no pickup has happened,garbage
The road construction work has been stalled for 2 months and the road is unusable currently,road
No water supply in our ward since the pump station faced technical issues three days ago,water
High voltage lines pass dangerously close to the building under construction near our home,electricity
Foul smell of rotting garbage is wafting into our homes from the nearby illegal dump site,garbage
Potholes on the road near the college are causing students on cycles to fall and get injured,road
Water tanker has not come to our area for 4 days and residents are in acute distress,water
Street lights in our locality were repaired last month but they broke down again within a week,electricity
The garbage pile near our building gate has been growing for 5 days with no signs of pickup,garbage
The damaged road in our village hasn't seen repair despite several petitions to the gram panchayat,road
Our water metre is broken and the connection was illegally disconnected without any notice,water
Despite paying electricity bills regularly our supply was cut for alleged non-payment this week,electricity
Heaps of animal waste and household trash near the public toilet are a serious health hazard,garbage
Road is barely one vehicle wide after poor construction narrowed it on both sides,road
Overhead water tank has a crack and has been leaking water for 3 days without any repair,water
Our locality has been suffering power cuts for 5 hours every day during the harvest season,electricity
The municipality is not sending garbage pickup to interior lanes and only covers main roads,garbage
Our colony road floods knee-deep every rain due to wrong gradient in the road construction,road
Water supply lines have not been flushed and cleaned in years causing filthy water at taps,water
Old and worn-out electricity cables in our area are a safety risk and need immediate replacement,electricity
Garbage burning near our colony every evening sends toxic smoke into our homes,garbage
Tree fell on the road last night blocking traffic and no one has come to clear it since morning,road
Pipeline damage during road work in our area has cut water supply to many households,water
Electricity thefts happening openly near our area are causing voltage drops for paying customers,electricity
Huge volume of waste dumped near our park by outsiders is driving away morning walkers,garbage
The road patch done last week has already sunk again and is now worse than before,road
Water supply comes at 4 AM in our area which is not practical for working families,water
Electric connection of our flat was disconnected by mistake during a neighbour's work,electricity
Segregated waste we kept outside was mixed again by the garbage van workers in our sight,garbage
The road in front of our society gate has not been repaired since the rains ended two months ago,road
Borewell water in our village has turned yellowish and residents refuse to drink it,water
Electricity to our street's transformer is cut every evening at peak cooking time,electricity
Garbage collectors are demanding money from residents before picking up waste,garbage
Entire stretch of road from the school to the market is filled with sharp gravel and loose mud,road
Tanker water given to our colony has a very foul smell and looks visibly cloudy,water
Power cuts in our area have become so frequent that we cannot use our refrigerator at all,electricity
Garbage is being thrown into the open drain behind our building making the drain overflow,garbage
The road near the canal is sinking slowly and cracks are visible on the surface every morning,road
We have been without running water for 5 days and the municipal helpline number is always busy,water
A bare electric cable is hanging loose from the pole near the market and touching the metal fence,electricity
The electric pole outside our school has been leaning dangerously since last night's storm,electricity
Exposed wires from a broken junction box on our street have been lying on the ground since yesterday,electricity
A short circuit occurred in the main switchboard of our building last night and it still smells of burning,electricity
Live cable is dangling from the pole near the children's play area and it is extremely dangerous,electricity
The overhead electric wire snapped and fell on a parked car near our gate two days ago and nobody came,electricity
Two electric poles in our lane are cracked at the base and could fall any time with the next wind,electricity
Sparks are flying from the electric meter box outside our building every time it rains,electricity
An exposed high tension cable near the water tank on our terrace is a serious safety risk for residents,electricity
The electric pole at the road corner has been tilting at a dangerous angle for over a week,electricity
Bare copper wires are visible on the streetlight cable near our gate and kids often play there,electricity
A short circuit in the underground cable caused a loud explosion near our lane last evening,electricity
The distribution box on our street wall has a broken cover exposing live wires to rain and dust,electricity
Workers cut the electric cable during road digging and the live wire end is still uninsulated,electricity
Electric pole near the primary school collapsed during rain and is blocking half the road since morning,electricity
Repeated short circuits in our building's common area wiring are tripping the main switch every evening,electricity
A high tension line is sagging very low near our terrace due to the broken supporting pole,electricity
Loose wires hanging from the electric pole near the bus stop are brushing against passing buses,electricity
The insulation on the cable running along our compound wall has peeled off exposing live copper,electricity
An electric short circuit started a small fire in the meter room of our apartment complex yesterday,electricity
Street light pole at the main junction was hit by a truck and the live wires inside are now exposed,electricity
Broken electric pole lying across the road near the underpass has been there since yesterday morning,electricity
Cables from the utility pole are drooping so low on our street that tall vehicles keep hitting them,electricity
The junction box near the temple caught fire two nights ago and the board still has not sent anyone,electricity
Electric wires are running through a water puddle on our road and we are scared to walk past it,electricity
A hanging cable near the market entrance gave a shock to a vegetable vendor this morning,electricity
Underground cable exposed by road work near our colony is creating a serious electrocution risk,electricity
The transformer near our park emits bright sparks every time it rains which is very alarming,electricity
Corroded electric poles in our street have exposed rusted wires that look likely to snap any day,electricity
Naked cable looping between two broken poles near the clinic is swaying dangerously in the wind,electricity
Water is leaking from the municipal pipeline near my house and flowing onto the road for 3 days,water
A massive underground pipe has burst near our colony and water is gushing out since yesterday,water
Sewage is mixing with the drinking water supply in our area and residents are falling sick,water
The drainage channel behind our building has been blocked for a week causing water to overflow,water
Contaminated and foul-smelling water has been coming from our municipal tap since Monday,water
The storm drain near our market is completely clogged and dirty water is spilling onto the road,water
Water leaking from a pipe joint in our lane has flooded three houses on the lower side,water
Dark brown water with visible particles has been coming from our taps for the past two days,water
The open drain in front of our school is blocked and sewage water is overflowing onto the footpath,water
A broken water meter in our compound is leaking continuously and wasting hundreds of litres daily,water
Drainage water from the colony above is flowing directly into our street since the pipe burst,water
Municipal pipeline near the junction is visibly cracked and has been leaking since yesterday evening,water
The drainage near our building is overflowing with sewage because of a blocked outlet pipe,water
Water from a broken overhead tank is seeping into the walls of our ground floor flat for two days,water
Oily and discoloured water from the tap is unsuitable for cooking and we are worried about health,water
The drain cover was removed for repair last week and sewage water is flowing freely on our lane,water
A water pipeline burst near the school and the road has been waterlogged and muddy since then,water
Contaminated groundwater is entering the municipal supply line near our block after the heavy rain,water
Our entire street has been flooded with drain overflow because the main sewer line is blocked,water
The public water tap near the market has been gushing water nonstop for 4 days due to a broken valve,water
Mixing of sewage and drinking water supply lines near our building has made tap water undrinkable,water
Stagnant drainage water near our colony is breeding mosquitoes and causing dengue risk in the area,water
Water leaking from the pipe near the electricity pole is a dangerous combination and needs urgent action,water
The drain alongside our road has been overflowing for two days and sewage is entering ground floor homes,water
Broken drainage pipe under the road has caused a sinkhole near our gate which is growing larger daily,water
A leaking water main near the bus stand is wasting enormous amounts of water and damaging the road,water
Sewage overflow near the park has made it impossible for children to use the area since last week,water
The storm water drain in our lane is completely choked and backs up every time it rains,water
Municipal water supply has been completely off in our ward for 4 consecutive days without any reason,water
Overflowing garbage bins near the hospital entrance have not been cleared in over 5 days,garbage
Swarms of flies are hovering around the uncollected waste heap outside our building every morning,garbage
Rotting food waste from nearby restaurants is dumped openly on our street every night,garbage
The garbage bin near the school gate is so full that waste is spilling all over the footpath,garbage
Cockroaches and rats have started appearing in our building because of the garbage piled near the gate,garbage
The stench of rotting garbage from the dump near our lane enters our homes every evening,garbage
Municipal bins in our colony are overflowing and nobody has come to empty them for 6 days,garbage
Mosquito infestation in our area has worsened due to stagnant water collecting in the garbage dump,garbage
Rotten vegetable waste thrown near the market entrance is spreading a terrible smell in the area,garbage
Flies and insects are breeding in the overflowing dustbin near our apartment and entering our flats,garbage
The garbage collection vehicle skips our interior lane every single day and waste keeps piling up,garbage
An unbearable smell of decomposing waste is coming from the dump behind our colony since 3 days,garbage
Heaps of wet garbage near the main road have turned the footpath into an unusable dirty stretch,garbage
Residents cannot sleep with windows open because of the stench from the uncollected garbage nearby,garbage
Rats have been seen entering homes near the garbage dump on our street since last week,garbage
The unclean street near the temple looks terrible and the smell drives away worshippers daily,garbage
Waste piled outside our building for a week has started leaking dirty liquid onto the pavement,garbage
Open garbage near the children's park is attracting stray dogs who are biting children in the area,garbage
Overflowing bins near the bus stop have made the entire waiting area smell unbearable for commuters,garbage
Maggots are visible in the rotting garbage heap outside our building gate since yesterday,garbage
Our street has been unclean since the sanitation workers stopped coming two weeks ago,garbage
Pests have been appearing inside our flat ever since the garbage started piling up in our lane,garbage
The garbage dump near the drainage is overflowing into the drain and blocking the water flow,garbage
Burning plastic waste near our street every evening is sending toxic fumes into our homes,garbage
Uncollected garbage in front of our house has been attracting crows and scattering waste everywhere,garbage
Large insects and cockroaches are seen every morning near the overflowing bin in our compound,garbage
The stench of garbage near our housing society is so bad that even guests refuse to visit us,garbage
Waste from the slaughterhouse nearby is dumped on the road near our homes and is totally unbearable,garbage
Nobody is cleaning the unclean stretch of road near the old market which looks neglected for months,garbage
Garbage juice is flowing from the overloaded bin down our lane every time it rains heavily,garbage
A wide crack has appeared on the road near our colony entrance and is getting bigger after every rain,road
The road surface near the construction site is extremely uneven and vehicles bounce dangerously,road
Freshly laid road near our building has already cracked open within one month of completion,road
The road is completely blocked by construction material dumped by a contractor for the past 3 days,road
An uneven road patch near the school has caused two bike accidents this week alone,road
Road construction debris has blocked our lane and emergency vehicles cannot enter our street,road
The tarred road surface has completely peeled off near the junction leaving sharp edges and gravel,road
Deep longitudinal cracks on our main road are spreading after every rain and no one is repairing them,road
Construction work on the road near our colony has been abandoned for weeks leaving it impassable,road
Broken road divider pieces are scattered across the lane creating obstacles for two-wheelers at night,road
The road in front of the hospital has been dug and left without barricades causing accidents at night,road
Uneven road surface near the bridge creates a violent jolt for buses and causes passenger injuries,road
The road is blocked by abandoned construction equipment near the junction since last Tuesday,road
Multiple cracks visible on the road surface near the water tank suggest the road is sinking underneath,road
The newly built road in our layout was not compacted properly and has developed severe unevenness,road
A large trench dug for underground cable work is blocking one full lane near our market for a week,road
Road surface near our society has sunk by almost 6 inches compared to the footpath level,road
Construction sand and gravel dumped on the road near our gate is blocking vehicles from passing,road
The blocked road near the school means parents have to park far away and children walk on the highway,road
Uneven patches and bumps on our road have caused damage to the suspension of many vehicles recently,road
Road is fully blocked due to an unattended pipe laying project that started 10 days ago near our area,road
The road near the market has been dug up for repairs and has not been restored despite three complaints,road
Cracks running across the full width of our road suggest the base layer has failed and needs urgent work,road
An enormous mound of construction material is blocking the road near the school from 7 AM to 7 PM,road
The road between the two societies has subsided and water collects there after every small shower,road
Vehicles are forced to reverse from the blocked road near the temple due to construction barricades,road
Road repair done last season has completely failed and the surface is worse than before in our area,road
Uneven road with large bumps near the colony gate is damaging car tyres and axles regularly,road
Construction workers have blocked the road near the junction with no alternate route for residents,road
The road near our building shows deep cracks along the drainside which may cave in any time soon,road
Drain water from the road is seeping into our basement flat every time it rains due to a blocked outlet pipe,water
